"city","date","trend"
"Shanghai",2015-11-01,48.2248813495925
"Shanghai",2015-12-01,47.9342932375305
"Shanghai",2016-01-01,47.6437051254684
"Shanghai",2016-02-01,46.9439184507427
"Shanghai",2016-03-01,46.2441317760169
"Shanghai",2016-04-01,45.2472849861006
"Shanghai",2016-05-01,44.2504381961843
"Shanghai",2016-06-01,43.1406567232635
"Shanghai",2016-07-01,42.0308752503426
"Shanghai",2016-08-01,41.2061111759532
"Shanghai",2016-09-01,40.3813471015638
"Shanghai",2016-10-01,39.896692838145
"Shanghai",2016-11-01,39.4120385747261
"Shanghai",2016-12-01,39.2243464332695
"Shanghai",2017-01-01,39.0366542918129
"Shanghai",2017-02-01,39.0946840560836
"Shanghai",2017-03-01,39.1527138203542
"Shanghai",2017-04-01,39.2780437201486
"Shanghai",2017-05-01,39.4033736199429
"Shanghai",2017-06-01,39.4245019401569
"Shanghai",2017-07-01,39.445630260371
"Shanghai",2017-08-01,39.2594043067538
"Shanghai",2017-09-01,39.0731783531367
"Shanghai",2017-10-01,38.8038299356147
"Shanghai",2017-11-01,38.5344815180927
"Shanghai",2017-12-01,38.1711552210463
"Shanghai",2018-01-01,37.8078289239999
"Shanghai",2018-02-01,37.4439207825814
"Shanghai",2018-03-01,37.0800126411629
"Shanghai",2018-04-01,36.7556617075973
"Shanghai",2018-05-01,36.4313107740318
"Shanghai",2018-06-01,35.826257344694
"Shanghai",2018-07-01,35.2212039153562
"Shanghai",2018-08-01,34.7245056398227
"Shanghai",2018-09-01,34.2278073642892
"Shanghai",2018-10-01,33.9195839800499
"Shanghai",2018-11-01,33.6113605958106
"Shanghai",2018-12-01,33.3706030964265
"Shanghai",2019-01-01,33.1298455970424
"Shanghai",2019-02-01,33.1199810982168
"Shanghai",2019-03-01,33.1101165993913
"Shanghai",2019-04-01,33.166665531026
"Shanghai",2019-05-01,33.2232144626607
"Shanghai",2019-06-01,32.956159205984
"Shanghai",2019-07-01,32.6891039493072
"Shanghai",2019-08-01,31.8473301356879
"Shanghai",2019-09-01,31.0055563220686
"Shanghai",2019-10-01,30.2884616805192
"Shanghai",2019-11-01,29.5713670389698
"Shanghai",2019-12-01,29.2393758938862
"Shanghai",2020-01-01,28.9073847488025
"Shanghai",2020-02-01,28.8522480692734
"Shanghai",2020-03-01,28.7971113897444
"Shanghai",2020-04-01,28.8734353479004
"Shanghai",2020-05-01,28.9497593060565
"Shanghai",2020-06-01,28.977640442644
"Shanghai",2020-07-01,29.0055215792316
"Shanghai",2020-08-01,28.804243432427
"Shanghai",2020-09-01,28.6029652856224
"Shanghai",2020-10-01,28.2139876016479
"Shanghai",2020-11-01,27.8250099176734
"Shanghai",2020-12-01,27.305623610847
"Shanghai",2021-01-01,26.7862373040206
"Shanghai",2021-02-01,26.5328107793252
"Shanghai",2021-03-01,26.2793842546299
"Shanghai",2021-04-01,26.4103816947334
"Shanghai",2021-05-01,26.5413791348369
"Shanghai",2021-06-01,26.5711070167324
"Shanghai",2021-07-01,26.6008348986278
"Shanghai",2021-08-01,26.6732901662548
"Shanghai",2021-09-01,26.7457454338818
